Pais;Tipo de falla;Dias respuesta;Outcome;I pais;I falla
Ecuador;AC WIRE;46;0;1;1
Ecuador;AC WIRE;46;0;1;1
Ecuador;AC WIRE;46;0;1;1
El Salvador;AC WIRE;3;0;2;1
El Salvador;AC WIRE;3;0;2;1
Mexico;AC WIRE;1;0;3;1
Mexico;AC WIRE;1;0;3;1
Mexico;AC WIRE;2;0;3;1
Mexico;AC WIRE;2;0;3;1
Mexico;AC WIRE;2;0;3;1
Mexico;AC WIRE;2;0;3;1
Mexico;AC WIRE;4;0;3;1
Mexico;AC WIRE;6;0;3;1
Mexico;AC WIRE;7;0;3;1
Mexico;AC WIRE;7;0;3;1
Mexico;AC WIRE;16;0;3;1
Peru;AC WIRE;1;0;4;1
Peru;AC WIRE;1;0;4;1
Peru;AC WIRE;1;0;4;1
Peru;AC WIRE;1;0;4;1
Peru;AC WIRE;1;0;4;1
Peru;AC WIRE;1;0;4;1
Peru;AC WIRE;2;0;4;1
Peru;AC WIRE;2;0;4;1
Peru;AC WIRE;2;0;4;1
Peru;AC WIRE;3;0;4;1
Peru;AC WIRE;3;0;4;1
Peru;AC WIRE;3;0;4;1
Peru;AC WIRE;3;0;4;1
Peru;AC WIRE;3;0;4;1
Peru;AC WIRE;4;0;4;1
Peru;AC WIRE;4;0;4;1
Peru;AC WIRE;4;0;4;1
Peru;AC WIRE;4;0;4;1
Peru;AC WIRE;5;0;4;1
Peru;AC WIRE;5;0;4;1
Peru;AC WIRE;6;0;4;1
Peru;AC WIRE;6;0;4;1
Peru;AC WIRE;8;0;4;1
Peru;AC WIRE;8;0;4;1
Peru;AC WIRE;9;0;4;1
Peru;AC WIRE;18;0;4;1
Ecuador;CABINET;1;0;1;2
Ecuador;CABINET;5;0;1;2
Ecuador;CABINET;16;0;1;2
Ecuador;CABINET;22;0;1;2
Mexico;CABINET;1;0;3;2
Mexico;CABINET;1;0;3;2
Mexico;CABINET;1;0;3;2
Mexico;CABINET;1;0;3;2
Mexico;CABINET;1;0;3;2
Mexico;CABINET;1;0;3;2
Mexico;CABINET;2;0;3;2
Mexico;CABINET;2;0;3;2
Mexico;CABINET;3;0;3;2
Mexico;CABINET;3;0;3;2
Mexico;CABINET;3;0;3;2
Mexico;CABINET;4;0;3;2
Mexico;CABINET;6;0;3;2
Mexico;CABINET;6;0;3;2
Mexico;CABINET;6;0;3;2
Mexico;CABINET;6;0;3;2
Mexico;CABINET;8;0;3;2
Mexico;CABINET;8;0;3;2
Mexico;CABINET;8;0;3;2
Mexico;CABINET;8;0;3;2
Mexico;CABINET;17;0;3;2
Mexico;CABINET;19;0;3;2
Mexico;CABINET;20;0;3;2
Mexico;CABINET;20;0;3;2
Mexico;CABINET;25;0;3;2
Mexico;CABINET;35;0;3;2
Mexico;CABINET;41;0;3;2
Peru;CABINET;1;1;4;2
Peru;CABINET;2;1;4;2
Peru;CABINET;2;1;4;2
Peru;CABINET;2;1;4;2
Peru;CABINET;4;1;4;2
Peru;CABINET;5;1;4;2
Peru;CABINET;6;1;4;2
Peru;CABINET;7;1;4;2
Peru;CABINET;8;1;4;2
Peru;CABINET;8;1;4;2
Peru;CABINET;8;1;4;2
Peru;CABINET;8;1;4;2
Peru;CABINET;8;1;4;2
Peru;CABINET;9;1;4;2
Peru;CABINET;10;1;4;2
Peru;CABINET;11;1;4;2
Peru;CABINET;11;1;4;2
Peru;CABINET;15;1;4;2
